res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
55974293.23556956,59028267.39873093,59767125.64368072,161226463.37703952,190992.23686940278,201412.83037844056,01107,487799.29935547465,2056673.7779917032,1664.440476901388,7017.662978184167,56462092.534925036,192656.67734630418,61084941.17672264,208430.49335662473
65169354.78990944,70373678.16575477,71678385.38836342,204139002.14050934,222367.09259155116,240124.9829638548,01109,25368858.30347591,50398437.127995655,86562.14690933889,171966.62405879336,90538213.09338534,308929.23950089,120772115.29375042,412091.60702264815
92325789.49605891,57580650.861135565,95811787.65716021,162515480.88180354,315028.70402266143,196473.35719061684,01111,1026426.0809488862,2451866.5788457682,3502.3115407010946,8366.116932075956,93352215.5770078,318531.01556336257,60032517.439981334,204839.47412269277
128795223.9274053,121462407.5101299,137157352.3198759,344096499.28493726,439467.59296210454,414446.98208642966,01113,33187578.44758714,50904749.18780074,113240.73029930687,173694.2327031608,161982802.37499243,552708.3232614114,172367156.69793063,588141.2147895904
258839017.11848658,179408723.47019824,270480862.15531003,514745740.93916357,883195.481548707,612168.0405190492,01115,19059021.14272394,35766054.23219996,65032.08651997635,122038.85581996723,277898038.2612105,948227.5680686833,215174777.7023982,734206.8963390164
589070082.2522883,460485401.37718916,575791523.6936806,1249205775.1337907,2009990.7685964876,1571241.578425965,01117,75273106.85949396,144609186.09360796,256842.5293857674,493427.0774558156,664343189.1117823,2266833.297982255,605094587.4707971,2064668.6558817804
43706949.42656342,36276986.585760176,42303333.40820425,92143285.70594719,149134.31783025296,123782.2295627089,01119,1987603.1407591077,4495520.376428244,6781.984155916063,15339.35388826662,45694552.56732253,155916.30198616904,40772506.96218842,139121.58345097554
273199657.0178126,164539359.8964594,276186955.55336004,476542072.17740744,932196.0240960731,561431.6605558248,01121,22684101.85446978,44205372.36014941,77401.37666991423,150835.00765570495,295883758.8722824,1009597.4007659873,208744732.2566088,712266.6682115297
155384462.6048783,116343805.7410206,144383372.2763922,337833002.5012599,530193.8510015346,396981.58600877755,01123,6174825.78991188,13912518.278138908,21069.382420441503,47471.48794260545,161559288.39479017,551263.2334219761,130256324.01915951,444453.07395138295
541736356.6678836,470881487.9265683,534333201.04499906,1293268175.700024,1848481.3755134658,1606714.5019767366,01125,76433174.48916245,193994845.2894389,260800.84486779972,661937.9593955966,618169531.1570461,2109282.2203812655,664876333.2160072,2268652.461372333
265892457.7363251,149502952.72813725,268272537.09347376,406615728.74845076,907262.8225253398,510125.3041276917,01127,6702741.1262909155,17309900.33819908,22870.704512144537,59063.83795978328,272595198.862616,930133.5270374842,166812853.06633633,569189.1420874749
29432953.63470816,50469944.23614808,30710620.295995295,134281917.2353429,100429.41728104037,172210.61646581878,01129,203980.21220241522,1321868.961730905,696.0094492247734,4510.404602818414,29636933.846910574,101125.42673026514,51791813.19787899,176721.0210686372
34134585.071714,29144210.904733866,31864172.102075316,82002730.8220614,116472.05137576835,99444.18608490043,01131,4342856.563516192,8716068.008818781,14818.443280349267,29740.461727746933,38477441.63523019,131290.4946561176,37860278.91355265,129184.64781264737
106613551.83734031,60100922.86845112,120894727.12558524,166866491.52340028,363780.57799336605,205072.88315820255,01133,8246435.21068838,5512730.858698888,28138.00793266867,18810.22049766254,114859987.0480287,391918.5859260347,65613653.72715001,223883.10365586507
,,,,,,02013,22879.881834215168,31077.69481481481,78.0694057615626,106.04150774081184,22879.881834215168,78.0694057615626,31077.69481481481,106.04150774081184
,,,,,,02016,5335004.908916098,11138.689119549144,18203.794319918794,38.006788969756656,5335004.908916098,18203.794319918794,11138.689119549144,38.006788969756656
,,,,,,02020,791047577.7950115,20633411.190383665,2699166.6641926263,70404.1289259781,791047577.7950115,2699166.6641926263,20633411.190383665,70404.1289259781
,,,,,,02050,38747687.90748019,309410.9062463993,132212.61331200527,1055.7539484614013,38747687.90748019,132212.61331200527,309410.9062463993,1055.7539484614013
,,,,,,02068,101729.26719397402,5479.905937011888,347.1147052217809,18.69821720372762,101729.26719397402,347.1147052217809,5479.905937011888,18.69821720372762
,,,,,,02070,14838119.603272453,613994.6928078023,50629.77109934927,2095.0370791066002,14838119.603272453,50629.77109934927,613994.6928078023,2095.0370791066002
,,,,,,02090,377195919.460696,9929089.548591958,1287046.039020458,33879.46347051166,377195919.460696,1287046.039020458,9929089.548591958,33879.46347051166
,,,,,,02100,2419011.161412277,196941.63504822235,8254.00958232361,671.9928244967115,2419011.161412277,8254.00958232361,196941.63504822235,671.9928244967115
,,,,,,02110,54421304.29097804,18807660.123476714,185693.21806602637,64174.40702904008,54421304.29097804,185693.21806602637,18807660.123476714,64174.40702904008
